slug,company,program,category,status,verification_level,benefit_type,benefit_summary,amount_is_published,amount_max,currency,duration_months,partner_gate,funding_required,accelerator_required,open_to_bootstrapped,requires_vc_backing,funding_min_usd,funding_max_usd,company_age_max_years,application_mechanism,requires_sales_call,regions,excluded_regions,regions_basis,apply_url,official_source,last_verified,verified_by
openai-grove,OpenAI,OpenAI Grove,ai,closed-to-new,verified,services,"A five-week cohort program (approx. fifteen participants) of workshops, office hours and mentoring at OpenAI's San Francisco HQ, with early access to OpenAI tools and unspecified credits. Applications closed 12 Jan 2026.",False,,,,none,,,,,,,,self-serve-form,,,,unstated,https://openai.com/index/openai-grove/,https://openai.com/index/openai-grove/,2026-09-14,tayyabakmal1
oracle-for-startups,Oracle,Cloud Infrastructure for Startups,cloud,unverified,needs-manual-verification,free-plan,"The page currently points startups to Oracle Cloud Free Tier and developer resources. No credit amount, discount percentage, eligibility criteria or application form is published on it.",False,,,,,,,,,,,,,,,,unstated,https://www.oracle.com/cloud/free/,https://www.oracle.com/cloud/oracle-for-startups/,2026-09-16,tayyabakmal1
ovhcloud-startup-program,OVHcloud,OVHcloud Startup Program,cloud,active-self-serve,verified,credit,"Two levels of free OVHcloud credits: EUR 10,000 with 6 hours of engineer time at Start level, and up to EUR 100,000 with up to 20 hours of engineer time at Scale level, for a maximum of 12 months.",True,100000,EUR,12,none,,,,,,,,self-serve-form,,,,unstated,https://startup.ovhcloud.com/en/,https://startup.ovhcloud.com/en/,2026-09-14,tayyabakmal1
pilot-startup-booster,Pilot,Pilot Booster Program for Startups,finance,active-self-serve,verified,discount,"Flat $750 price for the first year covering federal and state corporate income tax filings, monthly accrual-basis bookkeeping, onboarding, and setup help for banking, corporate card and payroll.",False,,,12,none,,,,,,,1,self-serve-form,,,,unstated,https://pilot.com/startup-booster,https://pilot.com/startup-booster,2026-09-16,tayyabakmal1
pinecone-for-startups,Pinecone,Pinecone for Startups,databases,active-amount-undisclosed,verified,bundle,"Free access to Pinecone's Standard tier and Pro Support, plus unspecified usage credits and discounts, for companies with fewer than 100 employees at Series A or earlier.",False,,,,none,,,,,,,,self-serve-form,,,,unstated,https://www.pinecone.io/startup-program/,https://www.pinecone.io/startup-program/,2026-09-14,tayyabakmal1
plain-for-startups,Plain,Plain for Startups,support,active-sales-gated,verified,discount,"50% off Plain's Horizon plan: a $6k flat fee covering 12 months and 10 seats, for VC-backed startups with up to $5m in funding that are not already Plain customers.",True,,,12,none,True,,False,True,,5000000,,sales-call,True,,,unstated,https://www.plain.com/get/demo,https://www.plain.com/startups,2026-09-14,tayyabakmal1
posthog-for-startups,PostHog,PostHog for Startups,analytics,active-self-serve,verified,credit,"$50,000 in PostHog platform credits valid for 12 months, plus merch and separate partner discounts (Incident.io, Speakeasy, Chroma, Depot) the page values at $12,000.",True,50000,USD,12,none,,,,,,5000000,2,in-product,,,,unstated,https://app.posthog.com/startups,https://posthog.com/startups,2026-09-14,tayyabakmal1
pulley-partner-offer,Pulley,Partner Offer,legal,active-partner-only,verified,discount,"Companies that join Pulley through one of its partners receive a first-year discount and concierge onboarding. No discount percentage, amount or partner list is published.",False,,,12,required-hard,,,,,,,,partner-code,,,,unstated,https://pulley.com/partner-offer,https://pulley.com/partner-offer,2026-09-16,tayyabakmal1
puzzle-for-startups,Puzzle,Puzzle for Startups,finance,unverified,verified,discount,No Puzzle startup credits or discount program terms are published. The Y Combinator partner page now redirects to the Puzzle homepage; the live startup and pricing pages publish only a 14-day free trial and general plan promotions.,False,,,,,,,,,,,,,,,,unstated,https://puzzle.io/pricing,https://puzzle.io/solutions/startup,2026-09-16,tayyabakmal1
qdrant-for-startups,Qdrant,Qdrant for Startups,databases,active-self-serve,verified,discount,"20% discount on Qdrant Cloud for the first year (12 months from acceptance), plus expert technical sessions and partner perks from Hugging Face, LlamaIndex and Airbyte.",False,,,12,none,,,,,,5000000,5,self-serve-form,,,,unstated,https://qdrant.tech/qdrant-for-startups/#form,https://qdrant.tech/qdrant-for-startups/,2026-09-14,tayyabakmal1
railway-startup-program,Railway,Startup Program,hosting,unverified,verified,credit,"$5,000 in Railway credits announced in an April 2024 changelog for startups with $2M-$25M raised, founded 2020 or later, and under $100 lifetime Railway spend.",True,5000,USD,,none,True,,False,,2000000,25000000,,self-serve-form,,,,unstated,https://startup.railway.app/,https://railway.com/changelog/2024-04-26-startup-program,2026-09-16,tayyabakmal1
ramp-for-startups,Ramp,Ramp for Startups,finance,active-self-serve,verified,bundle,"Access to a partner rewards marketplace Ramp states is worth $350K+ in credits and discounts, redeemed from the Ramp product dashboard after opening an account. Ramp publishes no eligibility criteria on the page.",True,350000,USD,,improves-offer,,False,,,,,,self-serve-form,False,,,unstated,https://ramp.com/startups,https://ramp.com/startups,2026-09-14,tayyabakmal1
redis-for-startups,Redis,Redis for Startups,databases,no-program,verified,free-plan,"The English Redis for Startups page no longer resolves: it redirects to the Redis homepage, so no current program terms, amounts or eligibility rules can be confirmed.",False,,,,,,,,,,,,,,,,unstated,https://redis.io/startups/,https://redis.io/startups/,2026-09-16,tayyabakmal1
remote-for-startups,Remote,Remote for Startups,hr,active-partner-only,verified,discount,"Percentage discount on Remote's service fees for startups. The readable page states partner-referred startups get 20% off all hires in their first year, and that introducing a non-partner investor adds 5% up to a 20% ceiling.",False,,,12,improves-offer,,,,,,,,partner-code,,,,unstated,https://remote.com/global-hr/startups,https://remote.com/partners/vc-partners,2026-09-16,tayyabakmal1
render-for-startups,Render,Render for Startups,hosting,active-self-serve,verified,credit,"Four tiers of Render credits valid one year: $500 Prototype (open to all qualified startups), $2,500–$5K Build, $10K–$25K Scale and $100K AI; the Build, Scale and AI tiers require applying through an enrolled accelerator or VC partner.",True,100000,USD,12,tiered,True,,False,,25000,100000000,5,self-serve-form,,,,unstated,https://render.com/startup-application,https://render.com/startups,2026-09-14,tayyabakmal1
retool-for-startups,Retool,Retool for Startups,devtools,active-self-serve,verified,discount,"A 100% off coupon for one year on a monthly Team or Business plan, with a value up to $60k, followed by a 25% discount on the paid plan in the second year.",True,60000,USD,12,none,False,,True,False,,10000000,10,self-serve-form,,,,unstated,https://share.hsforms.com/2H3PWbX5wQ9Wq_i3-P_wmZw4k765,https://retool.com/startups,2026-09-14,tayyabakmal1
rippling-for-startups,Rippling,Rippling for Startups,hr,unverified,needs-manual-verification,free-plan,"Rippling hosts a startup landing page and accelerator-specific offer pages, but every Rippling page returned 403 to automated retrieval, so no offer term, duration or eligibility rule could be confirmed.",False,,,,,,,,,,,,,,,,unstated,https://www.rippling.com/lp/startupstack,https://www.rippling.com/lp/startupstack,2026-09-16,tayyabakmal1
runpod-startup-program,Runpod,Runpod Startup Program,ai,active-self-serve,verified,bundle,"Two tiers: Growth Tier adds $25,000 in bonus credits on a $50,000 upfront commitment under a 12-month agreement; Starter Tier grants $1,000 in credits with self-serve onboarding.",True,25000,USD,,none,,,,,,,,self-serve-form,,,,unstated,https://www.runpod.io/startup-program,https://www.runpod.io/startup-program,2026-09-14,tayyabakmal1
salesforce-launchpad-for-startups,Salesforce,Salesforce Launchpad for Startups,crm,active-amount-undisclosed,verified,discount,"Free and discounted Salesforce products for venture-backed startups, covering Starter Suite, Pro Suite, Sales Cloud Enterprise Edition, Agentforce, Tableau and Slack, plus implementation support. No cost to join; no amounts published.",False,,,,improves-offer,True,,False,True,,,,self-serve-form,False,US;CA,,inferred,https://invite.salesforce.com/launchpad,https://www.salesforce.com/launchpad/,2026-09-16,tayyabakmal1
scaleway-startup-program,Scaleway,Scaleway Startup Program,cloud,active-self-serve,verified,credit,"Three stage-based cloud credit tiers: up to EUR 1,000 over one year (Founders), EUR 9,000 over six months (Early Stage), and EUR 36,000 over twelve months (Growth Stage).",True,36000,EUR,12,,,,,,,,5,,,,,unstated,https://www.scaleway.com/en/startup-program/,https://www.scaleway.com/en/startup-program/,2026-09-14,tayyabakmal1
segment-twilio-no-startup-credits,Segment,Free resources for startups,analytics,no-program,verified,credit,"No startup credits are offered. Twilio, which owns Segment, states every customer gets a small account-opening credit and that no additional credits are offered to startups. The former Segment Startup Program pages now redirect to Twilio.",False,,,,none,,,,,,,,,,,,unstated,https://www.twilio.com/en-us/solutions/startups,https://www.twilio.com/en-us/solutions/startups,2026-09-16,tayyabakmal1
sentry-for-startups,Sentry,Sentry for Startups,devtools,active-self-serve,verified,credit,"Up to $5,000 in Sentry credits expiring after 12 months, plus priority support, for companies founded in the last 2 years that have raised under $5M in venture capital and have never paid for Sentry.",True,5000,USD,12,none,,,,,,5000000,2,self-serve-form,,,,unstated,https://sentry.io/for/startups/apply/,https://sentry.io/for/startups/apply/,2026-09-14,tayyabakmal1
snowflake-for-startups,Snowflake,Snowflake for Startups,databases,active-amount-undisclosed,verified,usage-allowance,"Free Snowflake usage on an eligible startup's first contract; the vendor publishes no dollar figure, duration, or eligibility thresholds on the program page.",False,,,,,,,,,,,,,,,,unstated,https://www.snowflake.com/en/why-snowflake/startup-program/,https://www.snowflake.com/en/why-snowflake/startup-program/,2026-09-16,tayyabakmal1
snyk-for-startups,Snyk,Snyk for startups,security,no-program,verified,free-plan,"Snyk's startups page is product marketing with ""Book a live demo"" and ""Start free"" calls to action; it publishes no startup-specific credit, discount, term length, eligibility test or application process.",False,,,,,,,,,,,,,,,,unstated,https://snyk.io/startups/,https://snyk.io/startups/,2026-09-16,tayyabakmal1
stripe-atlas,Stripe,Stripe Atlas,legal,active-self-serve,verified,bundle,"Paid Delaware incorporation service ($500 one-time, $100/year thereafter) that includes $2,500 in Stripe product credits for the first year after incorporation and access to over $50,000 in third-party partner discounts.",True,2500,USD,12,none,,,,,,,,self-serve-form,,,,unstated,https://stripe.com/atlas,https://stripe.com/atlas,2026-09-14,tayyabakmal1
stytch-startup-program,Stytch,Stytch Startup Program,devtools,unverified,verified,free-plan,"The dedicated Stytch Startup Program page no longer exists; its URLs now redirect to general pricing, which advertises an always-free tier of 10,000 monthly active users with no startup-specific terms.",False,,,,,,,,,,,,,,,,unstated,https://stytch.com/pricing,https://stytch.com/pricing,2026-09-16,tayyabakmal1
supabase-startup-deal,Supabase,Supabase Startup Deal,databases,unverified,needs-manual-verification,credit,"Supabase hosts an application form titled ""Supabase Startup Deal Application Form"", but publishes no benefit amount, duration, or eligibility criteria for it on any Supabase-owned page that could be read.",False,,,,,,,,,,,,,,,,unstated,https://forms.supabase.com/supabasedeal,https://forms.supabase.com/supabasedeal,2026-09-14,tayyabakmal1
techstars-accelerator,Techstars,Techstars Accelerator,ecosystem,active-self-serve,verified,bundle,"$220,000 day-one investment ($200,000 uncapped MFN SAFE plus $20,000 convertible equity agreement for 5% common stock) alongside a 3-month mentorship-driven accelerator program; Asia-Pacific programs invest $120,000 total.",True,220000,USD,3,none,,,,,,,,self-serve-form,,,,unstated,https://apply.techstars.com/,https://www.techstars.com/investment-terms,2026-09-14,tayyabakmal1
together-ai-startup-accelerator,Together AI,Together AI Startup Accelerator,ai,active-self-serve,verified,credit,"Tiered program giving up to $15K, $30K or $50K in free Together AI platform credits plus 3, 6 or 10 hours of forward-deployed engineering time, with the tier set by how much the company has raised.",True,50000,USD,,none,,,,,,,,self-serve-form,,,,unstated,https://www.together.ai/startup-accelerator,https://www.together.ai/startup-accelerator,2026-09-14,tayyabakmal1
typeform-startup-program,Typeform,Typeform startup program,marketing,active-self-serve,verified,discount,"75% off Typeform's Business plan for one year, available only on a yearly plan, for seed-stage startups that are not already Typeform customers.",False,,,12,none,,,,,,1000000,5,self-serve-form,,,,unstated,https://tfsales.typeform.com/to/cHOQj40j,https://help.typeform.com/hc/en-us/articles/360045878891-Startup-discount-at-Typeform,2026-09-14,tayyabakmal1
vanta-for-startups,Vanta,Vanta for Startups,security,active-sales-gated,verified,discount,"A $1,000 discount for new customers via the Vanta for Startups program, accessed by requesting a demo. Not combinable with other offers.",True,1000,USD,,none,,,,,,,,sales-call,,,,unstated,https://www.vanta.com/demo,https://www.vanta.com/solutions/startup,2026-09-14,tayyabakmal1
vercel-for-startups,Vercel,Vercel for Startups,devtools,active-self-serve,verified,credit,"Up to $30,000 in what Vercel calls a Flexible Commitment Amount, plus Enterprise-tier access and startup-focused support.",True,30000,USD,,,,,,,,,,self-serve-form,,,,unstated,https://vercel.com/startups,https://vercel.com/startups,2026-09-14,tayyabakmal1
vultr-digital-start-up-program,Vultr,Vultr Digital Start-up Program,cloud,active-self-serve,verified,bundle,"Up to $100K in cloud credits plus 35% long-term discounts, executive sponsorship, architecture reviews and priority support, for startups with recent Series A through E financing.",True,100000,USD,,,True,,False,,,,,self-serve-form,,,,unstated,https://discover.vultr.com/startup-program,https://discover.vultr.com/startup-program,2026-09-14,tayyabakmal1
weaviate-startup-deal,Weaviate,Startup Deal Redemption,databases,active-amount-undisclosed,verified,discount,"A discount of unpublished size on Weaviate Cloud, redeemed by creating a Weaviate Console account and submitting a form naming your company and the program or VC you are affiliated with.",False,,,,required-soft,,,,,,,,self-serve-form,,,,unstated,https://weaviate.io/startup-deal,https://weaviate.io/startup-deal,2026-09-16,tayyabakmal1
webflow-for-startups,Webflow,Webflow for Startups,design,discontinued,verified,discount,Closed program. Startups accepted before 30 June 2026 received a promo code for 100% off the first year of a monthly Premium Site plan; no new applications are accepted.,False,,,12,,,,,,,,,,,,,unstated,https://help.webflow.com/hc/en-us/articles/33961217659923-How-to-redeem-your-Webflow-for-startups-discount,https://help.webflow.com/hc/en-us/articles/33961217659923-How-to-redeem-your-Webflow-for-startups-discount,2026-09-14,tayyabakmal1
workos-for-startups,WorkOS,WorkOS for Startups,devtools,no-program,verified,free-plan,"WorkOS publishes no startup-specific credit, discount or application. The quantified benefit on its startups page is the standard free tier: User Management/AuthKit free for the first 1 million monthly active users.",False,,,,none,,,,,,,,in-product,,,,unstated,https://workos.com/startups,https://workos.com/startups,2026-09-16,tayyabakmal1
y-combinator-yc-deals,Y Combinator,YC Deals,ecosystem,active-invite-only,verified,bundle,A sign-in-gated catalogue of third-party vendor discounts available to YC companies and to attendees of YC events that included exclusive deals. Individual deal terms are not public.,False,,,,required-hard,,,,,,,,invite-only,,,,unstated,https://deals.ycombinator.com/,https://deals.ycombinator.com/,2026-09-16,tayyabakmal1
zendesk-for-startups,Zendesk,Zendesk for Startups,support,active-self-serve,verified,free-plan,"Free Zendesk Professional Suite and Copilot for up to 50 agents; baseline term is 6 months, with 1- or 2-year terms only for startups affiliated with Zendesk's institutional funding partners.",False,,,6,tiered,True,,False,False,,,10,self-serve-form,,,,unstated,https://www.zendesk.com/register/startups/,https://www.zendesk.com/business/startups/,2026-09-14,tayyabakmal1
